data_set	title	movie_url	ust_url	lyrics_url
training_set	*tear*	http://www.nicovideo.jp/watch/nm8966495	https://sites.google.com/site/utauust/	https://www5.atwiki.jp/hmiku/pages/7511.html
training_set	#NAME?	http://www.nicovideo.jp/watch/sm12145049	http://rokurin-utau.blogspot.jp/2011/07/ust-listing.html	https://www5.atwiki.jp/hmiku/pages/12095.html
training_set	0→∞への跳動	http://www.nicovideo.jp/watch/sm18240671	https://sites.google.com/site/utauust/	https://www5.atwiki.jp/hmiku/pages/22108.html
training_set	1000001colors	http://www.nicovideo.jp/watch/sm10512599	https://sites.google.com/site/utauust/	https://www5.atwiki.jp/hmiku/pages/9776.html
training_set	1925	http://www.nicovideo.jp/watch/sm8430328		https://www5.atwiki.jp/hmiku/pages/6777.html
training_set	39みゅーじっく！	http://www.nicovideo.jp/watch/sm29145868		
training_set	ALICE 2 ALICE	http://www.nicovideo.jp/watch/sm14982895	https://sites.google.com/site/utauust/	
training_set	ARPK	http://www.nicovideo.jp/watch/sm12103027	https://sites.google.com/site/utauust/	https://www5.atwiki.jp/hmiku/pages/12047.html
training_set	Afterglow	http://www.nicovideo.jp/watch/sm20244831		https://www5.atwiki.jp/hmiku/pages/24684.html
training_set	Air・・・	http://www.nicovideo.jp/watch/sm4665544		https://www5.atwiki.jp/hmiku/pages/5804.html
training_set	Alice in Dreamland	http://www.nicovideo.jp/watch/sm5087346		https://www5.atwiki.jp/hmiku/pages/2812.html
training_set	Anti Selector	http://www.nicovideo.jp/watch/sm24129086		https://www5.atwiki.jp/hmiku/pages/29987.html
training_set	Aquila	http://www.nicovideo.jp/watch/sm16248212		https://www5.atwiki.jp/hmiku/pages/19309.html
training_set	Aspirin	http://www.nicovideo.jp/watch/sm15279600		https://www5.atwiki.jp/hmiku/pages/17686.html
training_set	Atomic Eyes	http://www.nicovideo.jp/watch/sm13028520		https://www5.atwiki.jp/hmiku/pages/17637.html
training_set	BALLOON	http://www.nicovideo.jp/watch/sm20315560		https://www5.atwiki.jp/hmiku/pages/24778.html
training_set	BRIGHT RAiN	http://www.nicovideo.jp/watch/nm4605293		https://www5.atwiki.jp/hmiku/pages/2300.html
training_set	BadBye	http://www.nicovideo.jp/watch/sm13560654	https://sites.google.com/site/utauust/	https://www5.atwiki.jp/hmiku/pages/14427.html
training_set	Beats of Silence	http://www.nicovideo.jp/watch/sm22888781		https://www5.atwiki.jp/hmiku/pages/28450.html
training_set	Birth in Heaven	http://www.nicovideo.jp/watch/sm5337340		https://www5.atwiki.jp/hmiku/pages/3037.html
training_set	Bitter sweets	http://www.nicovideo.jp/watch/sm23920613		https://www5.atwiki.jp/hmiku/pages/29744.html
training_set	Bitter-Edge	http://www.nicovideo.jp/watch/sm11783686		https://www5.atwiki.jp/hmiku/pages/11626.html
